movie_id,genre
831815,Adventure
831815,Family
284054,Action
284054,Adventure
284054,Science Fiction
934632,Science Fiction
934632,Action
881366,Drama
881366,Fantasy
881366,Science Fiction
490132,Drama
490132,History
22705,Comedy
22705,Drama
22705,Romance
38,Science Fiction
38,Drama
38,Romance
980489,Adventure
980489,Action
980489,Drama
423108,Horror
423108,Mystery
423108,Thriller
1048241,Action
1048241,Comedy
550988,Comedy
550988,Adventure
550988,Science Fiction
520763,Science Fiction
520763,Thriller
520763,Horror
57224,Horror
57224,Animation
57224,Action
1127166,Romance
1127166,Drama
4935,Fantasy
4935,Animation
4935,Adventure
783110,Crime
783110,Action
508947,Animation
508947,Family
508947,Comedy
508947,Fantasy
439079,Horror
50620,Adventure
50620,Fantasy
50620,Drama
50620,Romance
744275,Romance
744275,Drama
10144,Animation
10144,Family
10144,Fantasy
1128650,Action
1128650,Drama
1128650,Crime
1128650,Thriller
810,Fantasy
810,Adventure
810,Animation
810,Comedy
810,Family
281957,Western
281957,Drama
281957,Adventure
1241748,Drama
1249532,Horror
1249532,Mystery
1026999,Fantasy
1026999,Adventure
1026999,Family
1018,Thriller
1018,Drama
1018,Mystery
57158,Fantasy
57158,Adventure
57158,Action
9806,Action
9806,Adventure
9806,Animation
9806,Family
893723,Animation
893723,Family
893723,Action
893723,Science Fiction
893723,Comedy
893723,Drama
893723,Adventure
4247,Comedy
10138,Adventure
10138,Action
10138,Science Fiction
527774,Animation
527774,Family
527774,Fantasy
527774,Action
527774,Adventure
10020,Romance
10020,Family
10020,Animation
10020,Fantasy
635302,Animation
635302,Action
635302,Fantasy
635302,Thriller
646097,Crime
646097,Action
646097,Thriller
646097,Drama
244786,Drama
244786,Music
565426,Romance
565426,Comedy
1159775,Romance
1159775,Drama
1086747,Fantasy
1086747,Horror
1086747,Mystery
988078,Romance
988078,Drama
988078,Comedy
280180,Action
280180,Comedy
280180,Crime
6479,Drama
6479,Science Fiction
6479,Thriller
13183,Mystery
13183,Action
13183,Science Fiction
679,Action
679,Thriller
679,Science Fiction
820525,Romance
820525,Drama
330457,Family
330457,Animation
330457,Adventure
330457,Comedy
330457,Fantasy
101,Crime
101,Drama
101,Action
508883,Animation
508883,Adventure
508883,Fantasy
508883,Family
508883,Drama
704239,Action
704239,Comedy
49013,Animation
49013,Family
49013,Adventure
49013,Comedy
273477,Comedy
273477,Horror
118,Adventure
118,Comedy
118,Family
118,Fantasy
297,Fantasy
297,Drama
297,Romance
49026,Action
49026,Crime
49026,Drama
49026,Thriller
1089123,Horror
398818,Romance
398818,Drama
87101,Science Fiction
87101,Action
87101,Thriller
87101,Adventure
496450,Animation
496450,Fantasy
496450,Action
496450,Romance
496450,Family
807339,Horror
807339,Thriller
857598,Action
857598,Drama
857598,Thriller
857598,Crime
1032823,Crime
1032823,Thriller
1032823,Horror
1032823,Mystery
663712,Horror
663712,Thriller
383498,Action
383498,Comedy
383498,Adventure
460458,Action
460458,Horror
460458,Science Fiction
1124,Drama
1124,Mystery
1124,Science Fiction
337339,Action
337339,Crime
337339,Thriller
12155,Family
12155,Fantasy
12155,Adventure
1057491,Drama
218,Action
218,Thriller
218,Science Fiction
1174618,Horror
1174618,Thriller
1037113,Comedy
1079244,History
1079244,Drama
1079244,War
290098,Thriller
290098,Drama
290098,Romance
1062807,Animation
1062807,Comedy
1062807,Adventure
1062807,Action
951491,Horror
951491,Mystery
951491,Thriller
335988,Action
335988,Adventure
335988,Science Fiction
1029330,Romance
1029330,Drama
967847,Fantasy
967847,Adventure
967847,Comedy
10625,Drama
10625,Comedy
950387,Adventure
950387,Fantasy
950387,Family
950387,Comedy
4232,Crime
4232,Horror
4232,Mystery
955555,Action
955555,Crime
955555,Comedy
955555,Thriller
955555,Drama
695721,Drama
695721,Science Fiction
695721,Action
696506,Science Fiction
696506,Action
696506,Comedy
585083,Animation
585083,Comedy
585083,Family
585083,Adventure
585083,Fantasy
105,Adventure
105,Comedy
105,Science Fiction
614933,Science Fiction
614933,Action
429617,Action
429617,Adventure
429617,Science Fiction
939099,Documentary
939099,Romance
939099,Drama
9732,Family
9732,Adventure
9732,Animation
9732,Action
12920,Drama
12920,Family
214756,Comedy
214756,Fantasy
9502,Action
9502,Adventure
9502,Animation
9502,Family
9502,Comedy
317442,Action
317442,Romance
317442,Animation
646683,Horror
646683,Thriller
1413163,Romance
20982,Animation
20982,Action
20982,Fantasy
387824,Drama
1008042,Horror
399579,Action
399579,Science Fiction
399579,Adventure
1103621,Drama
1103621,Comedy
882569,War
882569,Action
882569,Thriller
49046,War
49046,History
49046,Drama
670292,Action
670292,Adventure
670292,Science Fiction
863873,Thriller
863873,Mystery
863873,Drama
863873,Science Fiction
530385,Horror
530385,Drama
530385,Mystery
408,Fantasy
408,Animation
408,Family
190859,War
190859,Action
953,Family
953,Animation
953,Adventure
953,Comedy
166428,Animation
166428,Family
166428,Adventure
353491,Fantasy
353491,Action
353491,Science Fiction
1214484,Drama
1224993,Thriller
1224993,Horror
1224993,Mystery
854,Romance
854,Comedy
854,Crime
854,Fantasy
1579,Action
1579,Drama
1579,History
205596,History
205596,Drama
205596,Thriller
205596,War
652,Adventure
652,History
652,War
1358752,Thriller
1358752,Action
1119550,Comedy
138832,Comedy
138832,Crime
1049574,Action
141052,Action
141052,Adventure
141052,Science Fiction
11544,Animation
11544,Family
11544,Comedy
1191611,Comedy
1191611,Romance
744276,Romance
744276,Drama
1075794,Animation
1075794,Comedy
1075794,Family
812,Animation
812,Family
812,Adventure
812,Fantasy
812,Romance
37799,Drama
959092,Action
959092,Crime
959092,Drama
372058,Animation
372058,Romance
372058,Drama
1225977,Horror
1225977,Thriller
1225977,Comedy
489,Drama
301528,Family
301528,Adventure
301528,Animation
301528,Comedy
301528,Fantasy
1062215,Horror
1062215,Science Fiction
1062215,Thriller
820530,Animation
820530,Drama
820530,Comedy
820530,Romance
20352,Animation
20352,Family
20352,Comedy
458156,Action
458156,Thriller
458156,Crime
5492,Action
5492,Thriller
5492,Crime
13683,Animation
13683,Family
827931,Horror
827931,Science Fiction
827931,Thriller
697843,Action
697843,Thriller
181808,Adventure
181808,Action
181808,Science Fiction
329865,Drama
329865,Science Fiction
329865,Mystery
840326,Action
840326,War
840326,Adventure
698508,Romance
698508,Drama
698508,Western
1233083,Comedy
711978,Romance
561,Fantasy
561,Action
561,Horror
102651,Fantasy
102651,Adventure
102651,Action
102651,Family
102651,Romance
694,Horror
694,Thriller
260514,Family
260514,Animation
260514,Adventure
260514,Comedy
937278,Comedy
937278,Drama
840430,Comedy
840430,Drama
283995,Science Fiction
283995,Adventure
283995,Action
280,Action
280,Thriller
280,Science Fiction
1155089,Animation
1155089,Science Fiction
1155089,Action
68718,Drama
68718,Western
7978,Horror
7978,Thriller
1186532,Drama
1186532,Family
72808,Drama
72808,Romance
16869,Drama
16869,Thriller
16869,War
769,Drama
769,Crime
302946,Crime
302946,Thriller
302946,Drama
772,Comedy
772,Family
772,Adventure
436270,Action
436270,Adventure
436270,Science Fiction
370172,Action
370172,Thriller
370172,Adventure
46848,Drama
46848,Romance
1094556,Family
1094556,Science Fiction
1094556,Action
1094556,Comedy
137113,Action
137113,Science Fiction
869291,Horror
929563,Animation
929563,Family
929563,Comedy
929563,Music
929563,TV Movie
209112,Action
209112,Adventure
209112,Fantasy
1331344,Horror
1311550,Action
1311550,History
114,Romance
114,Comedy
9820,Comedy
9820,Family
9820,Romance
61979,Romance
61979,Drama
1402,Drama
508442,Animation
508442,Family
508442,Comedy
508442,Fantasy
12236,Comedy
12236,Action
1207898,Horror
1422,Drama
1422,Thriller
1422,Crime
