adult,movie_id,original_language,popularity,revenue,runtime,status,title,vote_average,vote_count,genre,lang,company_name,movie_country,release_year
False,1147710,ko,196.172,14602614,100,Released,Hijack 1971,6.5,87,Action,Korean,Perfect Storm Film,KR,2024
False,603692,en,195.328,440157245,170,Released,John Wick: Chapter 4,7.7,6779,Action,Arabic,Thunder Road,US,2023
False,1125510,es,193.946,0,101,Released,The Platform 2,5.573,1056,Science Fiction,Spanish,Basque Films,ES,2024
False,1354627,en,193.289,0,45,Released,SpongeBob Squarepants: Kreepaway Kamp,7.0,71,TV Movie,English,United Plankton Pictures,US,2024
False,1287717,es,193.207,0,80,Released,Do Not Enter,7.183,112,Horror,Guarani,FilmSharks International,PY,2024
False,929590,en,192.426,126542249,109,Released,Civil War,6.876,3189,War,English,DNA Films,GB,2024
False,1064028,en,191.212,262793,105,Released,Subservience,6.7,574,Science Fiction,English,Millennium Media,US,2024
False,634649,en,189.776,1921847111,148,Released,Spider-Man: No Way Home,8.0,20411,Action,English,Marvel Studios,US,2021
False,1165466,en,188.955,251071,80,Released,Wake Up,7.117,94,Horror,English,StudioCanal,CA,2024
False,1001028,fr,188.429,0,95,Released,Smoke Signals,6.8,28,Thriller,French,Agat Films & Cie / Ex Nihilo,BE,2024
False,1296753,en,188.353,0,112,Released,Remnant,4.857,14,Science Fiction,English,Cyfuno Ventures,AU,2024
False,68555,ja,187.658,0,100,Released,Death Note Relight 2: L's Successors,7.4,151,TV Movie,Japanese,Madhouse,JP,2009
False,889737,en,187.617,206400287,138,Released,Joker: Folie à Deux,5.511,2089,Drama,English,Warner Bros. Pictures,US,2024
False,278,en,186.49,28341469,142,Released,The Shawshank Redemption,8.709,27602,Drama,English,Castle Rock Entertainment,US,1994
False,120,en,186.368,871368364,179,Released,The Lord of the Rings: The Fellowship of the Ring,8.418,25502,Adventure,English,New Line Cinema,US,2001
False,597,en,186.079,2264162353,194,Released,Titanic,7.907,25601,Drama,English,Paramount Pictures,US,1997
False,1144962,en,185.729,65452,84,Released,Transmorphers: Mech Beasts,5.4,33,Action,English,The Asylum,US,2023
False,1111873,en,185.271,42791449,109,Released,Abigail,6.786,1346,Horror,English,Project X Entertainment,US,2024
False,1116490,en,184.227,0,90,Released,Cash Out,6.3,168,Action,English,Convergence Entertainment,US,2024
False,1106739,en,183.842,21418477,114,Released,Juror #2,6.791,1320,Crime,English,Warner Bros. Pictures,US,2024
False,216015,en,183.598,569651467,125,Released,Fifty Shades of Grey,5.881,11843,Drama,English,Universal Pictures,US,2015
False,1079091,en,182.719,350993761,131,Released,It Ends with Us,7.1,1349,Drama,English,Columbia Pictures,US,2024
False,198663,en,182.342,348319861,113,Released,The Maze Runner,7.187,17135,Action,English,Ingenious Media,GB,2014
False,1181863,en,182.147,0,81,Released,Animal Adventures: Save The Forest,8.0,11,Animation,English,Canary Film Factory,US,2024
False,976734,en,181.585,525704,103,Released,Canary Black,6.31,353,Action,English,Anton Capital Entertainment,GB,2024
False,667538,en,181.006,441381193,127,Released,Transformers: Rise of the Beasts,7.262,4757,Science Fiction,Quechua,Skydance Media,US,2023
False,569094,en,179.922,690897910,140,Released,Spider-Man: Across the Spider-Verse,8.352,7230,Animation,English,Columbia Pictures,US,2023
False,1063877,en,179.759,0,92,Released,Don't Move,6.4,706,Horror,English,Capstone Studios,US,2024
False,814889,en,177.927,21768945,101,Released,Never Let Go,6.264,320,Horror,English,Lionsgate,US,2024
False,449443,en,176.94,80509622,140,Released,Den of Thieves,6.825,2926,Action,English,Atmosphere Entertainment MM,US,2018
False,68828,ja,176.003,0,51,Released,Outlanders,4.9,14,Animation,Japanese,Tatsunoko Production,JP,1986
False,502356,en,174.19,1362000000,93,Released,The Super Mario Bros. Movie,7.637,9375,Animation,English,Universal Pictures,US,2023
False,122,en,173.857,1118888979,201,Released,The Lord of the Rings: The Return of the King,8.483,24545,Adventure,English,New Line Cinema,US,2003
False,1331375,en,173.778,0,94,Released,Dominique,7.2,99,Action,English,Green Dog Films,US,2024
False,1094274,en,173.243,4210306,91,Released,Y2K,5.3,109,Comedy,English,A24,NZ,2024
False,938614,en,172.975,15469415,93,Released,Late Night with the Devil,7.176,1318,Horror,English,Spooky Pictures,US,2024
False,1129598,en,171.911,0,86,Released,Prey,6.2,298,Action,English,The Barnum Picture Company,US,2024
False,1235913,es,171.271,0,95,Released,Yo no soy esa,4.3,7,Comedy,Spanish,Sony Pictures International Productions,ES,2024
False,1029281,en,170.503,3504687,97,Released,Strange Darling,7.0,357,Crime,English,Miramax,US,2024
False,1208808,es,170.189,0,107,Released,The Haunting of the Immaculate Nurse,4.9,20,Horror,Spanish,Sony Pictures International Productions,MX,2024
False,672,en,169.997,876688482,161,Released,Harry Potter and the Chamber of Secrets,7.713,22220,Adventure,English,Warner Bros. Pictures,GB,2002
False,496243,ko,169.731,257591776,133,Released,Parasite,8.503,18556,Comedy,English,Barunson E&A,KR,2019
