movie_id,company_name,country
1288998,Black Mandala Films,
1288998,Wild Duck Productions,
1047373,AGC Studios,US
1047373,Meridian Pictures,US
1047373,Orogen Entertainment,US
437342,Phantom Four,US
437342,20th Century Studios,US
1151949,Frontier Pictures,ID
1151949,XYZ Films,US
122917,Warner Bros. Pictures,US
122917,New Line Cinema,US
122917,Metro-Goldwyn-Mayer,US
122917,WingNut Films,NZ
122917,The Saul Zaentz Company,US
673,Warner Bros. Pictures,US
673,1492 Pictures,US
673,Heyday Films,GB
673,P of A Productions Limited,
14836,Laika,US
14836,Pandemonium,US
14836,Pandemonium,
412656,Quadrant Pictures,US
412656,Lionsgate,US
412656,Bron Studios,CA
412656,3 Arts Entertainment,US
412656,TIK Films,HK
412656,Hercules Film Fund,LU
412656,Allison Shearmur Productions,US
412656,Creative Wealth Media Finance,CA
48650,Morena Films,ES
48650,Alicia Produce,ES
48650,"Intervenciones Novo Film 2006, A.I.E.",ES
48650,Wild Bunch,FR
1066262,Jump Film and Television,NZ
1066262,MBK Productions,GB
1066262,New Zealand Film Commission,NZ
1066262,Mister Smith Entertainment,GB
1066262,Brouhaha Entertainment,AU
1066262,Kismet Film Company,
537915,CalMaple Films,US
537915,Wattpad,CA
537915,Offspring Entertainment,US
537915,Diamond Film Productions,US
537915,Voltage Pictures,US
537915,Frayed Pages Entertainment,
1096197,Altitude Film Entertainment,GB
1096197,Ingenious Media,GB
1096197,Hyprr Films,GB
1096197,Sarma Films,GB
1096197,Dimension Studio,GB
27205,Legendary Pictures,US
27205,Syncopy,GB
27205,Warner Bros. Pictures,US
923667,Entertaining Power,HK
923667,One Cool Pictures,HK
923667,Sil-Metropole Organisation,HK
923667,HG Entertainment,CN
923667,Tao Piao Piao,CN
923667,Media Asia,HK
923667,Lian Ray Pictures,CN
746036,87North Productions,US
746036,Entertainment 360,US
746036,Universal Pictures,US
1329336,DreamWorks Animation Television,US
106646,Red Granite Pictures,US
106646,Appian Way,US
106646,Sikelia Productions,US
106646,EMJAG Productions,US
1072790,Olive Bridge Entertainment,US
1072790,Roth-Kirschenbaum Films,US
1072790,SK Global Entertainment,US
1072790,Columbia Pictures,US
12444,Warner Bros. Pictures,US
12444,Heyday Films,GB
1147400,Zagtoon,FR
1147400,SAMG Animation,KR
1147400,Method Animation,FR
1147400,The Walt Disney Company EMEA,GB
1147400,Télé-Québec,CA
1147400,TF1,FR
1147400,Gloob,BR
1147400,Norman Studio,FR
346698,LuckyChap Entertainment,US
346698,Heyday Films,GB
346698,NB/GG Pictures,US
346698,Mattel,US
346698,Warner Bros. Pictures,US
1252470,Friday Storytellers,
603,Village Roadshow Pictures,US
603,Groucho II Film Partnership,
603,Silver Pictures,US
603,Warner Bros. Pictures,US
354912,Pixar,US
354912,Walt Disney Pictures,US
1306764,"Black Cap Pictures, Inc.",
1412569,Vivamax,PH
755679,Universal Pictures,US
755679,One Race,US
755679,Original Film,US
755679,Perfect Storm Entertainment,US
299534,Marvel Studios,US
807,New Line Cinema,US
807,Juno Pix,US
807,Cecchi Gori Pictures,US
156022,Lonetree Entertainment,US
156022,Columbia Pictures,US
156022,Village Roadshow Pictures,US
156022,Escape Artists,US
156022,LStar Capital,US
156022,Mace Neufeld Productions,US
566525,Marvel Studios,US
787699,Warner Bros. Pictures,US
787699,Village Roadshow Pictures,US
787699,The Roald Dahl Story Company,GB
787699,Heyday Films,GB
787699,Domain Entertainment,US
447365,Marvel Studios,US
447365,Kevin Feige Productions,US
1232449,Polar Bear Films,BE
1232449,Family Affair Films,NL
1232449,Kwassa Films,BE
1404380,Rich Daddy Productions,
809,DreamWorks Animation,US
809,Pacific Data Images,US
615656,Apelles Entertainment,US
615656,Warner Bros. Pictures,US
615656,di Bonaventura Pictures,US
615656,CMC Pictures,CN
615656,Onaroll Productions,
615656,DF Pictures,CN
335984,Alcon Entertainment,US
335984,Columbia Pictures,US
335984,Scott Free Productions,GB
335984,Bud Yorkin Productions,US
335984,Torridon Films,US
335984,16:14 Entertainment,US
335984,Thunderbird Entertainment,CA
947891,Indian Paintbrush,US
947891,LuckyChap Entertainment,US
661539,Veritas Entertainment Group,US
661539,Range Media Partners,US
661539,The Picture Company,US
661539,Turnpike Films,US
661539,White Water,
661539,Searchlight Pictures,US
1142518,Pitchipoï Productions,FR
1142518,Amazon Studios France,FR
12445,Warner Bros. Pictures,US
12445,Heyday Films,GB
557,Marvel Enterprises,US
557,Laura Ziskin Productions,US
557,Columbia Pictures,US
38757,Walt Disney Animation Studios,US
38757,Walt Disney Pictures,US
940721,TOHO,JP
940721,TOHO Studios,JP
940721,Robot Communications,JP
850439,Ley Line Entertainment,US
850439,Wild Atlantic Pictures,IE
850439,Fís Éireann/Screen Ireland,IE
850439,Join Motion Pictures,IS
850439,Wrong Men,BE
850439,Protagonist Pictures,GB
1055110,Spotted Productions,JP
12,Pixar,US
675,Warner Bros. Pictures,US
675,Heyday Films,GB
680,Miramax,US
680,A Band Apart,US
